session.id,tender,processor,gear,fish.number,length,weight,sex,age,gonad,Slide,Lot,Catch.Date,Location,Comments
TOGHER_2020_06_10_12_01_44,Gordan Jensen,icicle,5,9,260,242,1,5,5,84,38,5/10/2020,Nunavachak,
TOGHER_2020_06_08_15_31_28,Gordan Jensen,icicle,5,10,271,303,1,28,5,13,1,5/4/2020,Nunavachak,
TOGHER_2020_06_10_11_54_32,Gordan Jensen,icicle,5,6,292,338,1,7,5,NA,NA,5/10/2020,Nunavachak,
TOGHER_2020_06_10_15_36_40,Gordan Jensen,icicle,5,6,324,579,1,11,5,100,3,5/4/2020,Nunavachak,
TOGHER_2020_06_10_16_09_40,Gordan Jensen,icicle,5,8,273,328,2,6,5,101,3,5/4/2020,Nunavachak,
TOGHER_2020_06_10_12_39_17,Gordan Jensen,icicle,5,5,283,327,2,6,5,91,38,5/10/2020,Nunavachak,
TOGHER_2020_06_08_15_35_19,Gordan Jensen,icicle,5,5,267,258,1,28,5,14,1,5/4/2020,Nunavachak,
TOGHER_2020_06_08_15_35_19,Gordan Jensen,icicle,5,6,269,274,1,29,5,14,1,5/4/2020,Nunavachak,
TOGHER_2020_06_10_10_41_30,Gordan Jensen,icicle,5,1,294,392,2,8,5,75,19,5/6/2020,Nuna/Hag/Kuluk,Mixture of May 6 & May 7 catch date
TOGHER_2020_06_10_15_29_13,Gordan Jensen,icicle,5,8,275,327,1,6,5,98,2,5/4/2020,Nunavachak,
TOGHER_2020_06_10_15_32_09,Gordan Jensen,icicle,5,2,281,338,1,7,5,99,3,5/4/2020,Nunavachak,
TOGHER_2020_06_10_15_29_13,Gordan Jensen,icicle,5,2,307,433,2,9,5,98,2,5/4/2020,Nunavachak,
TOGHER_2020_06_10_12_01_44,Gordan Jensen,icicle,5,8,295,388,1,8,5,84,38,5/10/2020,Nunavachak,
TOGHER_2020_06_08_15_23_51,Gordan Jensen,icicle,5,9,295,422,2,9,5,12,1,5/4/2020,Nunavachak,
TOGHER_2020_06_09_12_18_41,Gordan Jensen,icicle,5,2,292,377,2,8,5,39,44,5/13/2020,Nunavachak,
TOGHER_2020_06_08_15_39_44,Gordan Jensen,icicle,5,4,309,418,2,28,5,15,1,5/4/2020,Nunavachak,
TOGHER_2020_06_08_15_39_44,Gordan Jensen,icicle,5,5,321,565,1,14,5,15,1,5/4/2020,Nunavachak,
TOGHER_2020_06_08_16_46_30,Gordan Jensen,icicle,5,6,312,408,1,9,5,20,5,5/4/2020,Nunavachak,
TOGHER_2020_06_10_10_41_30,Gordan Jensen,icicle,5,3,276,336,2,7,5,75,19,5/6/2020,Nuna/Hag/Kuluk,Mixture of May 6 & May 7 catch date
TOGHER_2020_06_08_15_09_17,Gordan Jensen,icicle,5,3,278,326,2,6,5,11,24,5/8/2020,Nunavachak,
TOGHER_2020_06_08_15_39_44,Gordan Jensen,icicle,5,9,281,327,2,28,4,15,1,5/4/2020,Nunavachak,
TOGHER_2020_06_08_16_55_08,Gordan Jensen,icicle,5,3,286,405,2,9,5,22,5,5/4/2020,Nunavachak,
TOGHER_2020_06_08_15_39_44,Gordan Jensen,icicle,5,6,300,401,2,9,5,15,1,5/4/2020,Nunavachak,
TOGHER_2020_06_08_15_44_20,Gordan Jensen,icicle,5,2,295,327,1,11,5,16,1,5/4/2020,Nunavachak,
TOGHER_2020_06_08_15_44_20,Gordan Jensen,icicle,5,3,284,369,1,28,5,16,1,5/4/2020,Nunavachak,
TOGHER_2020_06_10_11_28_17,Gordan Jensen,icicle,5,9,277,333,2,7,5,78,19,5/6/2020,Nuna/Hag/Kuluk,Mixture of May 6 & May 7 catch date
TOGHER_2020_06_08_16_46_30,Gordan Jensen,icicle,5,4,301,453,2,10,5,20,5,5/4/2020,Nunavachak,
TOGHER_2020_06_10_15_36_40,Gordan Jensen,icicle,5,5,214,443,2,10,5,100,3,5/4/2020,Nunavachak,
TOGHER_2020_06_10_11_54_32,Gordan Jensen,icicle,5,10,275,322,1,6,5,NA,NA,5/10/2020,Nunavachak,
TOGHER_2020_06_10_14_42_33,Gordan Jensen,icicle,5,4,278,322,1,6,5,94,2,5/4/2020,Nunavachak,
TOGHER_2020_06_10_14_42_33,Gordan Jensen,icicle,5,8,289,391,1,9,5,94,2,5/4/2020,Nunavachak,
TOGHER_2020_06_08_15_44_20,Gordan Jensen,icicle,5,10,314,455,1,14,5,16,1,5/4/2020,Nunavachak,
TOGHER_2020_06_09_15_08_53,Gordan Jensen,icicle,5,2,287,387,2,9,5,52,4,5/4/2020,Nunavachak,
TOGHER_2020_06_10_16_12_48,Gordan Jensen,icicle,5,2,267,332,2,7,5,102,3,5/4/2020,Nunavachak,
TOGHER_2020_06_08_15_39_44,Gordan Jensen,icicle,5,10,285,386,2,9,5,15,1,5/4/2020,Nunavachak,
TOGHER_2020_06_09_15_00_31,Gordan Jensen,icicle,5,7,289,374,2,9,5,49,4,5/4/2020,Nunavachak,
TOGHER_2020_06_09_12_43_44,Gordan Jensen,icicle,5,3,273,330,2,7,5,44,44,5/13/2020,Nunavachak,
TOGHER_2020_06_09_15_06_28,Gordan Jensen,icicle,5,9,255,241,1,5,5,51,4,5/4/2020,Nunavachak,
TOGHER_2020_06_08_16_28_54,Gordan Jensen,icicle,5,2,282,328,1,7,5,17,1,5/4/2020,Nunavachak,
TOGHER_2020_06_08_17_48_54,Gordan Jensen,icicle,5,9,300,430,2,10,4,24,5,5/4/2020,Nunavachak,
TOGHER_2020_06_09_15_03_36,Gordan Jensen,icicle,5,1,288,374,2,8,5,50,4,5/4/2020,Nunavachak,
TOGHER_2020_06_09_15_03_36,Gordan Jensen,icicle,5,8,276,328,2,7,5,50,4,5/4/2020,Nunavachak,
TOGHER_2020_06_08_16_50_33,Gordan Jensen,icicle,5,6,300,425,2,10,5,21,5,5/4/2020,Nunavachak,
TOGHER_2020_06_10_15_29_13,Gordan Jensen,icicle,5,1,285,365,2,8,5,98,2,5/4/2020,Nunavachak,
TOGHER_2020_06_10_09_29_51,Gordan Jensen,icicle,5,3,276,326,2,7,4,66,49,5/13/2020,Nunavachak,
TOGHER_2020_06_09_14_46_45,Gordan Jensen,icicle,5,3,269,325,2,7,5,46,4,5/4/2020,Nunavachak,
TOGHER_2020_06_10_16_17_54,Gordan Jensen,icicle,5,10,261,321,2,7,5,104,3,5/4/2020,Nunavachak,
TOGHER_2020_06_08_16_50_33,Gordan Jensen,icicle,5,5,280,321,1,6,5,21,5,5/4/2020,Nunavachak,
TOGHER_2020_06_08_16_34_12,Gordan Jensen,icicle,5,7,282,373,2,9,4,18,1,5/4/2020,Nunavachak,
TOGHER_2020_06_08_16_34_12,Gordan Jensen,icicle,5,8,NA,NA,NA,30,NA,18,1,5/4/2020,Nunavachak,
TOGHER_2020_06_08_16_34_12,Gordan Jensen,icicle,5,9,NA,NA,NA,30,NA,18,1,5/4/2020,Nunavachak,
TOGHER_2020_06_08_16_34_12,Gordan Jensen,icicle,5,10,NA,NA,NA,30,NA,18,1,5/4/2020,Nunavachak,
TOGHER_2020_06_10_10_45_16,Gordan Jensen,icicle,5,8,257,240,1,5,5,76,19,5/6/2020,Nuna/Hag/Kuluk,Mixture of May 6 & May 7 catch date
TOGHER_2020_06_09_14_42_50,Gordan Jensen,icicle,5,8,281,356,2,8,5,45,4,5/4/2020,Nunavachak,
TOGHER_2020_06_08_16_34_12,Gordan Jensen,icicle,5,3,271,317,2,7,5,18,1,5/4/2020,Nunavachak,
TOGHER_2020_06_08_16_38_43,Gordan Jensen,icicle,5,4,315,491,1,11,5,19,5,5/4/2020,Nunavachak,
TOGHER_2020_06_09_12_32_16,Gordan Jensen,icicle,5,9,281,317,2,7,4,42,44,5/13/2020,Nunavachak,
TOGHER_2020_06_10_16_15_10,Gordan Jensen,icicle,5,8,273,317,2,7,5,103,3,5/4/2020,Nunavachak,
TOGHER_2020_06_09_12_23_46,Gordan Jensen,icicle,5,4,275,316,2,7,5,40,44,5/13/2020,Nunavachak,
TOGHER_2020_06_10_16_15_10,Gordan Jensen,icicle,5,3,252,240,2,5,4,103,3,5/4/2020,Nunavachak,
TOGHER_2020_06_09_10_25_12,Gordan Jensen,icicle,5,2,266,320,2,6,5,29,33,5/9/2020,Nunavachak,
TOGHER_2020_06_10_10_27_25,Gordan Jensen,icicle,5,9,282,319,1,6,5,71,49,5/13/2020,Nunavachak,
TOGHER_2020_06_09_12_40_06,Gordan Jensen,icicle,5,2,268,315,2,6,5,43,44,5/13/2020,Nunavachak,
TOGHER_2020_06_10_14_35_27,Gordan Jensen,icicle,5,7,270,312,2,6,5,93,2,5/4/2020,Nunavachak,
TOGHER_2020_06_09_12_05_23,Gordan Jensen,icicle,5,1,246,238,2,5,5,36,44,5/13/2020,Nunavachak,
TOGHER_2020_06_09_12_05_23,Gordan Jensen,icicle,5,7,297,425,2,10,5,36,44,5/13/2020,Nunavachak,
TOGHER_2020_06_08_16_46_30,Gordan Jensen,icicle,5,5,266,304,2,28,5,20,5,5/4/2020,Nunavachak,
TOGHER_2020_06_10_15_26_07,Gordan Jensen,icicle,5,6,289,367,1,9,5,97,2,5/4/2020,Nunavachak,
TOGHER_2020_06_09_11_07_41,Gordan Jensen,icicle,5,2,279,311,2,6,5,34,33,5/9/2020,Nunavachak,
TOGHER_2020_06_10_09_36_20,Gordan Jensen,icicle,5,9,272,311,1,6,5,68,49,5/13/2020,Nunavachak,
TOGHER_2020_06_08_16_46_30,Gordan Jensen,icicle,5,9,280,292,1,28,5,20,5,5/4/2020,Nunavachak,
TOGHER_2020_06_09_12_28_36,Gordan Jensen,icicle,5,8,279,355,2,8,5,41,44,5/13/2020,Nunavachak,
TOGHER_2020_06_10_16_09_40,Gordan Jensen,icicle,5,5,281,354,2,8,5,101,3,5/4/2020,Nunavachak,
TOGHER_2020_06_08_14_04_58,Gordan Jensen,icicle,5,1,279,351,2,8,5,4,24,5/8/2020,Nunavachak,
TOGHER_2020_06_10_10_30_05,Gordan Jensen,icicle,5,9,279,342,1,8,5,72,49,5/13/2020,Nunavachak,
TOGHER_2020_06_08_16_50_33,Gordan Jensen,icicle,5,4,306,409,2,13,4,21,5,5/4/2020,Nunavachak,
TOGHER_2020_06_10_14_31_50,Gordan Jensen,icicle,5,5,281,309,1,6,5,92,2,5/4/2020,Nunavachak,
TOGHER_2020_06_08_16_34_12,Gordan Jensen,icicle,5,1,300,419,2,10,5,18,1,5/4/2020,Nunavachak,
